O*NET-SOC Code,Title,Deductive Reasoning,Finger Dexterity,Fluency of Ideas,Inductive Reasoning,Manual Dexterity,Mathematical Reasoning,Near Vision,Number Facility,Oral Comprehension,Oral Expression,Originality,Problem Sensitivity,Endurance,Visualization,Written Comprehension,Written Expression,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Achievement/Effort,Adaptability/Flexibility,Analytical Thinking,Concern for Others,Cooperation,Dependability,Initiative,Innovation,Integrity,Leadership,Persistence,Self-Control,Social Orientation,Stress Tolerance,Independence,Career Number,Relevant O*NET-SOC Code,Career Name,Group Name,Prestige,Salary,Geographic Flexibility,Career Flexibility,Job Security,Physical Ease,Job Growth Prospects,Emotional Ease,Career Stability,Work-Life Balance,Status Quo with Growth,Aspirational Career 1,Aspirational Career 2,Aspirational Career 3,Aspirational Career 4,Summary Description
11-1011.03,Chief Sustainability Officers,0.7831016825164595,0.2524193548387097,0.8621502209131076,0.631919715118161,0.0,0.4619565217391305,0.4063811922753989,0.5505590062111801,0.6928301886792453,0.7479022254651585,0.8358028424553978,0.5752670767238587,0.0,0.5110968156963656,0.7265040650406502,0.8268174474959614,0.2466666666666666,0.5299625468164793,0.9466666666666664,0.63,0.1733333333333333,0.4249999999999999,0.7172995780590716,0.8287037037037039,0.8513931888544891,0.6363636363636364,0.8493150684931505,0.5449438202247192,0.9292035398230089,0.9187279151943464,0.7962962962962961,0.9492063492063492,0.8776371308016877,0.6200000000000001,0.6741935483870967,0.6024096385542168,0.7307692307692306,81,11-1011.03,Indian Administrative Service (IAS) Officer,Public Service & Governance,100,80,30,50,96,90,90,60,98,76,Senior IAS Officer,Cabinet Secretary,Chief Secretary,State Governor,Public Policy Consultant,Rule with wisdom—shape India’s future from the top!
11-1011.03,Chief Sustainability Officers,0.7831016825164595,0.2524193548387097,0.8621502209131076,0.631919715118161,0.0,0.4619565217391305,0.4063811922753989,0.5505590062111801,0.6928301886792453,0.7479022254651585,0.8358028424553978,0.5752670767238587,0.0,0.5110968156963656,0.7265040650406502,0.8268174474959614,0.2466666666666666,0.5299625468164793,0.9466666666666664,0.63,0.1733333333333333,0.4249999999999999,0.7172995780590716,0.8287037037037039,0.8513931888544891,0.6363636363636364,0.8493150684931505,0.5449438202247192,0.9292035398230089,0.9187279151943464,0.7962962962962961,0.9492063492063492,0.8776371308016877,0.6200000000000001,0.6741935483870967,0.6024096385542168,0.7307692307692306,82,11-1011.03,Indian Foreign Service (IFS) Officer,Public Service & Governance,98,82,60,52,94,92,88,58,96,70,Senior IFS Officer,Ambassador,Foreign Secretary,International Org Director,Diplomatic Consultant,Charm the world—be India’s voice abroad!
11-1011.03,Chief Sustainability Officers,0.7831016825164595,0.2524193548387097,0.8621502209131076,0.631919715118161,0.0,0.4619565217391305,0.4063811922753989,0.5505590062111801,0.6928301886792453,0.7479022254651585,0.8358028424553978,0.5752670767238587,0.0,0.5110968156963656,0.7265040650406502,0.8268174474959614,0.2466666666666666,0.5299625468164793,0.9466666666666664,0.63,0.1733333333333333,0.4249999999999999,0.7172995780590716,0.8287037037037039,0.8513931888544891,0.6363636363636364,0.8493150684931505,0.5449438202247192,0.9292035398230089,0.9187279151943464,0.7962962962962961,0.9492063492063492,0.8776371308016877,0.6200000000000001,0.6741935483870967,0.6024096385542168,0.7307692307692306,84,11-1011.03,Indian Revenue Service (IRS) Officer,Public Service & Governance,94,76,34,50,94,90,84,62,96,72,Senior IRS Officer,Chief Commissioner of Income Tax,Tax Policy Director,Financial Regulator,Tax Consulting Firm Head,Track every rupee—master India’s tax game!
11-2011.00,Advertising and Promotions Managers,0.7556693489392831,0.2069892473118279,0.8353460972017674,0.5224991906765941,0.1058201058201057,0.5078260869565218,0.654492023509656,0.5595031055900622,0.6656603773584905,0.8117475373951114,0.7973994557000303,0.5046940757526707,0.0,0.6468317787069797,0.7021138211382114,0.735702746365105,0.475,0.49438202247191,1.0,0.1183333333333332,0.0116666666666666,0.3566666666666667,0.6793248945147676,0.8009259259259263,0.6532507739938082,0.5672727272727273,0.7762557077625569,0.7247191011235952,0.8495575221238933,0.745583038869258,0.6157407407407407,0.7015873015873019,0.7468354430379749,0.6349999999999998,0.6483870967741936,0.7590361445783129,0.6249999999999998,15,11-2011.00,Digital Marketing Specialist,Sales & Marketing,74,68,70,76,56,90,72,60,64,48,Senior Digital Marketing Manager,Chief Marketing Officer (CMO),Digital Agency Founder,Brand Strategy Director,E-Commerce Marketing VP,Craft viral ads and boost brands—rock the internet with your marketing mojo!
11-2021.00,Marketing Managers,0.7425018288222384,0.2419354838709677,0.8468335787923416,0.5791518290708966,0.0,0.5586956521739131,0.5344248530646517,0.6295652173913044,0.6656603773584905,0.6789492885808098,0.7807680677351074,0.4930398187115571,0.0,0.5789642972016726,0.7138211382113819,0.7473344103392568,0.2416666666666666,0.5692883895131087,1.0,0.3166666666666666,0.0,0.3033333333333333,0.7721518987341771,0.75,0.6904024767801858,0.4072727272727273,0.5799086757990868,0.6348314606741572,0.836283185840708,0.8021201413427564,0.6157407407407407,0.8095238095238096,0.7088607594936711,0.48,0.6806451612903224,0.6224899598393572,0.5480769230769229,4,11-2021.00,Product Manager,Business Management & Strategy,80,76,76,82,60,94,80,60,72,44,Senior Product Manager,Chief Product Officer (CPO),Tech Startup Founder,Product Marketing Director,VP of Innovation,Dream up cool products and lead teams to launch them—be the boss of innovation!
11-2022.00,Sales Managers,0.7425018288222384,0.2419354838709677,0.8026509572901326,0.5908060861120104,0.149262043998886,0.5671739130434783,0.4609571788413099,0.6385093167701864,0.6792452830188681,0.6789492885808098,0.7698820683398853,0.5224991906765942,0.0,0.3911225474429077,0.7021138211382114,0.735702746365105,0.0516666666666666,0.7340823970037453,1.0,0.1099999999999999,0.0816666666666666,0.3816666666666667,0.784810126582278,0.8703703703703705,0.7337461300309597,0.5418181818181819,0.7031963470319633,0.7584269662921348,0.9469026548672566,0.7950530035335689,0.8333333333333333,0.8730158730158731,0.8143459915611817,0.6949999999999998,0.6903225806451612,0.8273092369477908,0.7499999999999998,18,11-2022.00,Luxury Brand Manager,Sales & Marketing,80,76,68,70,58,88,74,64,66,52,Senior Luxury Brand Manager,Luxury Brand CEO,Retail Strategy Director,Fashion Entrepreneur,Global Marketing VP,Sell swanky style to the elite—live the high life with top brands!
11-3061.00,Purchasing Managers,0.7008046817849306,0.0,0.840942562592047,0.5496924571058595,0.0,0.5586956521739131,0.4609571788413099,0.6432298136645964,0.6226415094339622,0.6789492885808098,0.7326882370728758,0.4930398187115571,0.0,0.3136056609842393,0.6865040650406504,0.7063004846526656,0.0666666666666666,0.7284644194756553,1.0,0.1683333333333332,0.1733333333333333,0.295,0.6582278481012656,0.8240740740740742,0.7894736842105264,0.5963636363636363,0.7853881278538815,0.7359550561797752,0.7168141592920352,0.6360424028268553,0.9259259259259258,0.7746031746031746,0.6118143459915613,0.7050000000000001,0.5935483870967742,0.8313253012048192,0.6298076923076921,13,11-3061.00,E-Commerce Specialist,Sales & Marketing,72,70,64,74,58,92,74,62,68,50,Senior E-Commerce Manager,E-Commerce CEO,Marketplace Strategy Director,Digital Transformation Consultant,Retail Tech Entrepreneur,Rule the online shopping world—make e-stores thrive with your digital magic!
11-3121.00,Human Resources Managers,0.7446964155084125,0.3397849462365592,0.7731958762886597,0.6202654580770475,0.1058201058201057,0.5326086956521738,0.6393786733837113,0.5997515527950311,0.7169811320754716,0.7427946005107623,0.719080737828848,0.5636128196827451,0.0,0.3911225474429077,0.7538211382113822,0.762843295638126,0.1183333333333332,0.6610486891385767,1.0,0.2799999999999999,0.015,0.4800000000000001,0.6708860759493669,0.7592592592592593,0.7275541795665635,0.7745454545454545,0.7899543378995433,0.7640449438202248,0.8407079646017697,0.6007067137809189,0.9444444444444444,0.888888888888889,0.7721518987341773,0.8999999999999999,0.7193548387096773,0.8192771084337349,0.5048076923076923,6,11-3121.00,HR Specialist,Business Management & Strategy,68,64,56,70,64,90,68,70,70,60,Senior HR Manager,Chief Human Resources Officer (CHRO),HR Consulting Partner,Talent Acquisition Director,Organizational Development Director,Build dream teams and keep workplaces buzzing—be the people guru every company needs!
11-9081.00,Lodging Managers,0.6210680321872714,0.4338709677419355,0.7537555228276878,0.4885076076400128,0.341130604288499,0.5415217391304348,0.4227539882451724,0.5093167701863355,0.6226415094339622,0.696461145567311,0.6954944058058665,0.5665263839430236,0.3042884457798416,0.4297201672563526,0.7021138211382114,0.762843295638126,0.0749999999999999,0.6835205992509363,0.8816666666666665,0.0283333333333333,0.2416666666666666,0.5366666666666667,0.860759493670886,0.976851851851852,0.8513931888544891,0.7599999999999999,0.8630136986301373,0.9550561797752808,0.9823008849557522,0.7809187279151945,0.87037037037037,0.8603174603174605,0.9915611814345996,0.9499999999999996,0.903225806451613,0.9116465863453816,0.8605769230769231,19,11-9081.00,Travel & Tourism Manager,Sales & Marketing,66,60,56,64,52,82,64,60,58,56,Senior Tourism Manager,Tourism Board Director,Travel Startup Founder,Hospitality Chain CEO,Destination Marketing Head,Create dream vacations—send people on adventures while you explore the world!
11-9151.00,Social and Community Service Managers,0.7139722019019751,0.3868279569892473,0.7758468335787922,0.5791518290708966,0.149262043998886,0.5065217391304347,0.4063811922753989,0.5788819875776398,0.7245283018867922,0.8307187157971542,0.7856062896885396,0.5908060861120102,0.1037967768369297,0.4297201672563526,0.7021138211382114,0.7473344103392568,0.2233333333333333,0.5411985018726593,1.0,0.1916666666666666,0.0,0.725,0.8185654008438814,0.9398148148148152,0.7430340557275542,0.8072727272727273,0.7808219178082192,0.8595505617977528,0.915929203539823,0.7102473498233216,0.9305555555555552,0.961904761904762,0.8185654008438821,0.8799999999999999,0.8258064516129031,0.8554216867469877,0.6442307692307692,104,11-9151.00,Rural Development Officer,Education & Social Impact,78,64,38,58,82,82,68,58,84,72,Senior Rural Development Officer,Rural Development Agency Head,NGO Founder,Policy Consultant,Sustainability Director,Grow villages strong—build India from the roots!
